PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,TEAM,SEASON,TEAM_ID
Tamecka Dixon,32,28.5,9.7,3.7,8.4,44.2,0.2,0.3,45.5,2.1,2.7,78.2,1.0,2.4,3.4,3.5,2.2,1.1,0.0,2.7,3.8,Los Angeles Sparks,2004,1611661320
Tamika Whitmore,34,17.6,6.2,2.3,5.1,44.5,0.2,0.5,43.8,1.4,2.1,68.1,1.1,2.0,3.1,0.5,1.0,0.4,0.1,2.1,-1.0,Los Angeles Sparks,2004,1611661320
Teresa Weatherspoon,34,8.6,0.5,0.2,0.7,32.0,0.0,0.1,33.3,0.0,0.0,0.0,0.2,0.7,0.9,0.9,0.8,0.4,0.0,0.8,-1.9,Los Angeles Sparks,2004,1611661320
Chamique Holdsclaw,33,35.8,17.0,6.5,13.6,48.0,0.1,0.4,23.1,3.8,4.8,78.8,2.6,4.2,6.8,3.2,3.0,1.2,0.5,2.8,-0.2,Los Angeles Sparks,2005,1611661320
Christi Thomas,32,16.2,3.8,1.5,3.0,50.0,0.1,0.4,33.3,0.7,1.0,68.8,0.9,2.4,3.3,0.5,0.8,0.3,0.6,3.2,1.2,Los Angeles Sparks,2005,1611661320
Doneeka Lewis,32,20.9,5.6,2.0,4.9,41.4,1.0,2.2,44.9,0.5,0.8,68.0,0.3,1.2,1.5,2.4,1.5,0.6,0.2,1.1,-1.7,Los Angeles Sparks,2005,1611661320
Edniesha Curry,13,8.6,1.8,0.5,1.8,30.4,0.5,1.2,37.5,0.2,0.5,50.0,0.3,0.5,0.8,0.9,0.8,0.5,0.1,1.2,1.3,Los Angeles Sparks,2005,1611661320
Gordana Grubin,9,4.6,0.1,0.0,0.9,0.0,0.0,0.2,0.0,0.1,0.4,25.0,0.1,0.6,0.7,0.6,0.2,0.1,0.0,0.4,-0.2,Los Angeles Sparks,2005,1611661320
Jessica Moore,15,7.0,0.5,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.1,0.3,0.3,0.0,1.4,0.4,Los Angeles Sparks,2005,1611661320
Laura Macchi,13,11.4,4.8,1.6,4.1,39.6,0.7,2.2,32.1,0.9,1.3,70.6,0.5,0.9,1.4,0.5,1.0,0.6,0.1,1.8,-2.7,Los Angeles Sparks,2005,1611661320
Lisa Leslie,34,32.2,15.2,6.0,13.6,44.0,0.2,1.0,20.6,3.0,5.1,58.6,2.1,5.2,7.3,2.6,2.9,2.0,2.1,3.6,0.5,Los Angeles Sparks,2005,1611661320
Marlous Nieuwveen,7,2.2,0.6,0.3,0.4,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.7,-1.9,Los Angeles Sparks,2005,1611661320
Mwadi Mabika,17,21.7,5.8,2.3,7.2,32.0,0.6,2.9,22.4,0.6,1.2,50.0,0.5,1.1,1.6,1.7,0.8,0.9,0.0,2.5,-3.0,Los Angeles Sparks,2005,1611661320
Nikki Teasley,19,29.1,7.4,2.4,7.1,33.3,1.5,4.9,30.9,1.2,1.4,84.6,0.3,2.5,2.8,3.7,2.5,1.2,0.2,2.0,1.4,Los Angeles Sparks,2005,1611661320
Raffaella Masciadri,33,13.9,3.7,1.3,3.2,42.3,0.6,1.4,41.3,0.5,0.6,75.0,0.6,0.8,1.4,0.7,0.6,0.5,0.0,1.5,1.0,Los Angeles Sparks,2005,1611661320
Tamecka Dixon,30,20.3,5.3,2.1,5.1,40.9,0.0,0.2,0.0,1.1,1.3,85.0,0.8,1.4,2.2,2.6,1.3,0.8,0.1,2.4,-0.2,Los Angeles Sparks,2005,1611661320
Tamika Whitmore,34,27.1,9.6,3.4,7.8,43.4,0.1,0.6,26.3,2.7,3.1,86.8,1.6,2.6,4.2,1.2,1.7,1.0,0.4,3.2,-1.9,Los Angeles Sparks,2005,1611661320
Brandi Davis,14,8.3,2.9,1.0,3.8,26.4,0.5,2.4,21.2,0.4,0.7,60.0,0.1,0.9,0.9,0.6,0.4,0.4,0.1,0.8,-0.3,Los Angeles Sparks,2006,1611661320
Chamique Holdsclaw,25,29.6,15.0,5.9,12.6,47.0,0.1,0.6,20.0,3.0,3.4,88.4,2.3,3.8,6.1,2.2,2.3,1.4,0.4,2.3,7.5,Los Angeles Sparks,2006,1611661320
Christi Thomas,27,20.2,6.1,2.4,4.9,48.9,0.1,0.7,20.0,1.1,1.7,63.8,1.6,3.7,5.3,1.0,1.6,0.7,0.5,3.0,2.1,Los Angeles Sparks,2006,1611661320
Dalivorka Vilipic,2,5.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,0.0,Los Angeles Sparks,2006,1611661320
Doneeka Lewis,34,13.4,3.9,1.4,4.2,31.9,0.5,1.8,29.5,0.6,0.7,91.3,0.3,1.0,1.2,1.9,1.3,0.4,0.1,0.8,-0.1,Los Angeles Sparks,2006,1611661320
Emmeline Ndongue,17,6.3,1.2,0.4,1.6,25.9,0.0,0.0,0.0,0.4,0.8,46.2,0.9,0.6,1.5,0.2,0.4,0.4,0.5,1.4,-2.1,Los Angeles Sparks,2006,1611661320
Jessica Moore,34,19.4,4.3,1.7,4.0,43.4,0.0,0.1,0.0,0.9,1.1,76.3,1.0,1.9,2.9,0.7,0.8,0.6,0.3,2.3,-1.6,Los Angeles Sparks,2006,1611661320
Lisa Leslie,34,31.0,20.0,7.6,14.8,51.1,0.2,0.6,40.0,4.6,7.1,65.0,2.4,7.1,9.5,3.2,3.7,1.5,1.7,3.4,4.8,Los Angeles Sparks,2006,1611661320
Lisa Willis,24,13.3,4.6,1.5,3.8,38.5,0.8,2.2,36.5,0.9,1.3,71.0,0.5,1.3,1.8,0.4,0.7,1.1,0.0,1.0,2.5,Los Angeles Sparks,2006,1611661320
Murriel Page,34,20.4,4.9,1.9,4.1,47.1,0.0,0.1,0.0,1.0,1.4,76.1,1.2,2.4,3.6,1.0,0.9,0.5,0.3,1.9,4.6,Los Angeles Sparks,2006,1611661320
Mwadi Mabika,32,21.3,8.5,2.9,7.6,37.7,1.0,3.0,33.3,1.8,2.0,88.9,0.5,1.5,2.0,1.5,1.2,0.6,0.2,2.4,-1.3,Los Angeles Sparks,2006,1611661320
Tamara Moore,34,18.9,6.1,2.0,4.3,46.9,0.5,1.4,34.7,1.6,1.9,80.3,0.5,1.6,2.1,1.9,1.1,1.0,0.2,1.7,-1.3,Los Angeles Sparks,2006,1611661320
Temeka Johnson,32,25.5,8.0,3.2,7.9,40.2,0.1,0.8,11.5,1.5,1.9,80.0,0.5,2.6,3.0,5.0,2.2,1.5,0.0,1.8,1.2,Los Angeles Sparks,2006,1611661320
Tiffany Stansbury,4,5.5,1.5,0.8,2.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,1.8,0.5,0.5,0.3,0.5,1.0,3.3,Los Angeles Sparks,2006,1611661320
Chamique Holdsclaw,5,30.0,15.8,6.2,12.6,49.2,0.4,0.6,66.7,3.0,3.6,83.3,1.8,3.8,5.6,3.0,5.2,1.2,0.6,2.8,6.0,Los Angeles Sparks,2007,1611661320
Christi Thomas,34,18.8,8.4,3.4,7.0,48.1,0.2,0.5,35.3,1.6,2.1,75.7,1.9,3.3,5.3,0.5,1.4,0.6,0.3,3.5,-3.5,Los Angeles Sparks,2007,1611661320
Iciss Tillis,3,2.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,1.3,0.0,0.0,1.0,-0.7,Los Angeles Sparks,2007,1611661320
Jessica Moore,28,15.4,4.4,1.7,4.3,40.0,0.0,0.0,0.0,1.0,1.5,64.3,1.3,1.8,3.1,0.6,1.2,0.2,0.2,2.3,-4.5,Los Angeles Sparks,2007,1611661320
Kiesha Brown,27,12.1,4.9,1.4,3.7,39.4,0.7,1.5,45.0,1.3,1.5,87.5,0.3,1.1,1.4,1.8,0.9,0.4,0.1,0.8,-1.2,Los Angeles Sparks,2007,1611661320
LaToya Thomas,27,17.3,7.3,2.7,6.2,43.5,0.6,1.3,41.7,1.4,1.6,84.1,1.0,1.2,2.2,1.1,1.0,0.3,0.2,2.3,-1.1,Los Angeles Sparks,2007,1611661320
Lisa Willis,8,12.1,2.3,0.9,2.5,35.0,0.3,1.1,22.2,0.3,0.5,50.0,0.3,0.9,1.1,0.5,1.3,0.5,0.1,1.3,-3.5,Los Angeles Sparks,2007,1611661320
Marta Fernandez,34,26.2,8.7,3.1,8.3,37.9,0.4,1.4,24.5,2.1,2.6,79.8,0.4,1.8,2.1,3.0,2.6,1.1,0.4,0.9,-3.2,Los Angeles Sparks,2007,1611661320
Murriel Page,34,18.7,4.8,2.1,5.0,41.8,0.1,0.3,20.0,0.6,0.7,79.2,1.0,2.3,3.3,1.3,0.7,0.4,0.3,2.0,-1.9,Los Angeles Sparks,2007,1611661320
Mwadi Mabika,33,23.1,8.1,2.8,7.8,36.4,1.1,3.5,31.0,1.3,1.7,75.4,0.5,3.3,3.8,2.2,2.2,0.8,0.1,2.7,-2.5,Los Angeles Sparks,2007,1611661320
Sherill Baker,24,20.5,8.5,2.6,8.0,32.8,0.3,1.4,21.2,2.9,3.5,83.3,0.7,2.2,2.9,3.2,2.7,1.5,0.1,2.4,-3.0,Los Angeles Sparks,2007,1611661320
Sidney Spencer,34,24.4,9.6,3.5,8.8,39.3,1.6,3.6,43.9,1.1,1.2,88.1,1.4,2.6,4.1,1.2,1.0,0.8,0.3,2.5,-1.6,Los Angeles Sparks,2007,1611661320
Taj McWilliams-Franklin,29,29.3,11.1,4.3,8.8,49.0,0.1,0.4,23.1,2.3,3.0,77.3,2.4,3.5,5.9,1.7,1.7,1.2,1.0,2.6,-4.3,Los Angeles Sparks,2007,1611661320
Temeka Johnson,11,18.7,6.4,2.6,8.0,33.0,0.1,0.3,33.3,1.0,1.5,68.8,0.4,2.3,2.6,2.7,2.8,0.7,0.1,1.5,-3.3,Los Angeles Sparks,2007,1611661320
Tye'sha Fluker,12,9.5,3.3,1.4,3.7,38.6,0.1,0.2,50.0,0.3,0.6,57.1,0.8,0.8,1.6,0.3,0.8,0.3,0.6,1.1,-1.8,Los Angeles Sparks,2007,1611661320
Amber Jacobs,5,12.2,2.0,0.6,2.2,27.3,0.4,1.0,40.0,0.4,0.4,100.0,0.2,0.2,0.4,1.2,1.6,0.0,0.0,1.4,-1.4,Los Angeles Sparks,2008,1611661320
Candace Parker,33,33.6,18.5,7.0,13.4,52.3,0.3,0.8,42.3,4.2,5.7,73.3,2.5,6.9,9.5,3.4,2.8,1.3,2.3,2.8,3.5,Los Angeles Sparks,2008,1611661320
Christi Thomas,20,7.9,1.5,0.6,1.7,35.3,0.1,0.3,16.7,0.2,0.4,50.0,0.5,1.5,2.0,0.3,0.4,0.1,0.4,1.7,-1.6,Los Angeles Sparks,2008,1611661320
DeLisha Milton-Jones,31,32.8,13.9,5.3,11.1,48.0,0.9,2.6,35.8,2.3,3.0,77.4,2.1,4.3,6.3,2.4,3.2,1.1,0.6,3.5,4.0,Los Angeles Sparks,2008,1611661320
Jessica Moore,28,11.1,1.4,0.5,1.5,32.6,0.0,0.0,0.0,0.4,0.6,68.8,0.6,1.0,1.6,0.6,0.6,0.1,0.2,1.7,0.9,Los Angeles Sparks,2008,1611661320
Kamela Gissendanner,2,6.8,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,2.5,Los Angeles Sparks,2008,1611661320
Kiesha Brown,32,16.6,4.9,1.6,4.6,35.6,0.7,2.1,34.3,1.0,1.1,91.2,0.3,1.6,1.8,2.1,1.2,0.6,0.0,1.3,0.5,Los Angeles Sparks,2008,1611661320
Lisa Leslie,33,32.1,15.1,5.7,12.3,46.3,0.1,0.5,23.5,3.5,5.4,66.1,2.5,6.3,8.9,2.4,3.6,1.5,2.9,3.5,2.2,Los Angeles Sparks,2008,1611661320
Margo Dydek,2,6.8,2.0,1.0,2.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,-3.0,Los Angeles Sparks,2008,1611661320
Marie Ferdinand-Harris,33,20.6,8.4,2.8,7.5,37.0,0.4,1.3,27.3,2.5,2.8,89.1,0.9,1.7,2.6,1.3,1.2,0.8,0.1,2.2,0.5,Los Angeles Sparks,2008,1611661320
Murriel Page,27,9.0,1.6,0.6,1.8,32.7,0.1,0.3,25.0,0.3,0.4,66.7,0.5,0.8,1.3,0.5,0.4,0.2,0.0,1.2,-0.1,Los Angeles Sparks,2008,1611661320
Raffaella Masciadri,29,14.2,4.3,1.6,4.7,34.8,0.6,2.3,23.5,0.6,0.7,80.0,0.5,0.9,1.4,0.6,0.6,0.3,0.0,1.2,1.5,Los Angeles Sparks,2008,1611661320
Shannon Bobbitt,26,21.2,4.1,1.3,4.9,27.6,0.8,2.7,28.2,0.6,0.8,72.7,0.6,1.8,2.5,3.5,2.4,1.0,0.0,1.5,-0.3,Los Angeles Sparks,2008,1611661320
Sidney Spencer,33,13.7,5.3,1.9,4.7,40.6,0.9,2.5,38.3,0.5,0.5,94.4,0.8,1.0,1.9,0.5,0.7,0.4,0.1,1.5,-0.7,Los Angeles Sparks,2008,1611661320
Temeka Johnson,23,17.1,4.2,1.5,4.4,34.7,0.0,0.4,0.0,1.1,1.6,72.2,0.5,1.3,1.9,3.1,1.6,1.0,0.1,1.7,1.6,Los Angeles Sparks,2008,1611661320
Betty Lennox,30,21.3,10.2,3.7,8.9,41.4,0.8,2.8,30.1,2.0,2.2,89.4,1.1,3.4,4.5,1.8,2.3,0.9,0.1,2.3,-1.6,Los Angeles Sparks,2009,1611661320
Candace Parker,25,32.6,13.1,5.2,10.8,48.5,0.2,1.0,20.8,2.4,3.2,76.3,2.4,7.4,9.8,2.6,2.2,0.6,2.1,2.1,4.8,Los Angeles Sparks,2009,1611661320
DeLisha Milton-Jones,33,31.6,10.2,3.9,9.8,40.1,0.7,2.5,29.3,1.7,2.2,75.7,1.5,3.2,4.8,2.2,2.2,1.2,0.2,2.5,1.0,Los Angeles Sparks,2009,1611661320
Kristi Harrower,31,16.8,3.1,1.3,3.6,36.0,0.3,1.3,20.5,0.3,0.4,81.8,0.5,1.3,1.8,2.2,0.9,0.5,0.0,1.0,0.5,Los Angeles Sparks,2009,1611661320
Lindsay Wisdom-Hylton,29,6.8,2.4,1.0,2.1,45.9,0.0,0.0,100.0,0.4,0.7,63.2,0.5,0.9,1.4,0.3,0.5,0.1,0.3,0.4,-0.1,Los Angeles Sparks,2009,1611661320
Lisa Leslie,23,27.7,15.4,6.3,12.1,51.8,0.0,0.3,16.7,2.8,3.9,72.2,2.4,4.1,6.6,2.1,2.6,0.7,1.4,3.3,1.6,Los Angeles Sparks,2009,1611661320
Marie Ferdinand-Harris,28,12.1,5.4,2.1,4.8,43.0,0.1,0.8,18.2,1.1,1.3,83.8,0.6,0.9,1.5,0.9,0.8,0.5,0.1,1.6,0.8,Los Angeles Sparks,2009,1611661320
Noelle Quinn,34,27.3,8.4,3.4,7.2,47.1,0.7,2.3,31.2,0.9,1.1,81.1,1.0,2.6,3.6,3.5,1.5,1.2,0.3,1.7,2.8,Los Angeles Sparks,2009,1611661320
Shannon Bobbitt,33,10.7,2.2,0.8,2.6,30.6,0.2,1.1,21.6,0.3,0.4,84.6,0.3,0.7,1.0,1.4,0.8,0.5,0.0,1.0,-1.2,Los Angeles Sparks,2009,1611661320
Tina Thompson,34,34.8,13.0,4.5,11.6,38.5,1.5,4.1,36.9,2.5,2.9,86.7,1.4,4.5,5.9,2.3,2.8,0.8,0.7,2.1,-0.6,Los Angeles Sparks,2009,1611661320
Vanessa Hayden,25,10.7,3.8,1.6,3.8,41.1,0.0,0.0,0.0,0.6,1.0,64.0,1.1,1.6,2.7,0.2,0.8,0.2,0.9,2.0,-1.5,Los Angeles Sparks,2009,1611661320
Andrea Riley,29,7.7,3.4,0.9,3.1,30.3,0.5,1.8,29.4,1.1,1.3,83.8,0.2,0.6,0.8,1.0,0.8,0.5,0.0,0.8,-1.7,Los Angeles Sparks,2010,1611661320
Betty Lennox,11,11.6,4.9,1.6,4.2,39.1,1.2,3.3,36.1,0.5,0.5,83.3,0.4,1.4,1.7,1.5,0.6,0.2,0.0,2.2,-2.2,Los Angeles Sparks,2010,1611661320
Candace Parker,10,33.5,20.6,8.1,16.2,50.0,0.3,1.2,25.0,4.1,5.6,73.2,1.9,8.2,10.1,2.2,3.2,1.0,2.2,1.8,-3.0,Los Angeles Sparks,2010,1611661320
Chanel Mokango,21,3.4,0.4,0.1,0.8,17.6,0.0,0.1,0.0,0.1,0.2,75.0,0.2,0.4,0.6,0.0,0.2,0.1,0.5,0.5,-1.1,Los Angeles Sparks,2010,1611661320
DeLisha Milton-Jones,34,32.2,15.4,5.7,12.1,47.0,0.8,2.4,31.7,3.2,3.7,86.6,1.0,3.7,4.7,2.5,2.8,1.1,0.6,3.1,-1.7,Los Angeles Sparks,2010,1611661320
Kristi Toliver,34,20.7,8.6,3.1,7.1,43.8,1.1,3.1,34.9,1.3,1.6,81.5,0.7,1.5,2.2,1.3,1.5,0.5,0.1,1.9,-3.3,Los Angeles Sparks,2010,1611661320
Lindsay Wisdom-Hylton,32,15.1,4.5,1.9,3.8,50.0,0.0,0.1,0.0,0.8,1.1,70.6,1.4,2.0,3.4,0.4,0.7,0.6,0.8,1.6,-1.5,Los Angeles Sparks,2010,1611661320
Marie Ferdinand-Harris,30,24.3,8.9,3.4,8.2,40.9,0.5,1.6,29.2,1.7,2.1,83.9,0.6,2.0,2.7,1.2,1.1,0.9,0.2,2.1,-4.1,Los Angeles Sparks,2010,1611661320
Noelle Quinn,34,32.5,10.2,4.0,9.1,44.3,1.0,2.6,40.2,1.1,1.4,77.6,0.8,3.2,4.0,2.8,1.4,1.0,0.3,1.6,-0.9,Los Angeles Sparks,2010,1611661320
Ticha Penicheiro,32,26.4,4.9,1.5,3.7,41.0,0.0,0.3,11.1,1.8,2.3,81.9,0.5,3.4,4.0,6.9,2.3,1.3,0.1,1.8,0.3,Los Angeles Sparks,2010,1611661320
Tiffany Stansbury,5,2.8,0.6,0.2,0.6,33.3,0.0,0.0,0.0,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.2,-1.6,Los Angeles Sparks,2010,1611661320
Tina Thompson,33,33.2,16.6,6.0,13.5,44.6,1.7,4.9,35.2,2.9,3.3,87.2,1.9,4.3,6.2,1.8,2.3,1.2,0.7,3.0,-2.1,Los Angeles Sparks,2010,1611661320
Candace Parker,17,32.6,18.5,6.8,13.4,51.1,1.1,2.5,41.9,3.8,5.1,73.6,1.2,7.4,8.6,2.8,1.9,1.2,1.6,2.0,-0.5,Los Angeles Sparks,2011,1611661320
DeLisha Milton-Jones,34,26.2,11.7,4.5,9.8,46.2,0.7,2.1,35.2,1.9,2.3,83.1,1.6,3.0,4.6,2.0,2.4,0.9,0.4,2.9,-1.2,Los Angeles Sparks,2011,1611661320
Ebony Hoffman,34,22.1,7.5,2.9,6.5,43.7,0.7,1.6,42.9,1.1,1.3,84.4,1.3,2.9,4.2,1.1,1.5,1.1,0.3,2.3,-3.2,Los Angeles Sparks,2011,1611661320
Jantel Lavender,33,14.8,6.6,2.8,5.6,50.0,0.0,0.0,0.0,1.0,1.4,73.3,1.1,2.1,3.1,0.5,0.8,0.2,0.4,1.4,-1.6,Los Angeles Sparks,2011,1611661320
Jenna O'Hea,31,16.3,4.8,1.6,3.6,43.4,0.9,2.0,44.4,0.7,0.9,78.6,0.5,1.0,1.5,1.3,0.8,0.4,0.2,1.5,-1.8,Los Angeles Sparks,2011,1611661320
Kristi Toliver,32,23.6,11.2,3.9,9.3,42.3,1.8,4.1,42.7,1.5,1.7,90.7,0.6,1.3,1.9,2.9,2.1,0.7,0.0,1.8,-1.5,Los Angeles Sparks,2011,1611661320
LaToya Sanders,20,11.1,3.9,1.3,2.8,47.3,0.1,0.1,100.0,1.2,1.4,88.9,0.9,1.5,2.4,0.3,0.6,0.3,0.7,1.4,-0.7,Los Angeles Sparks,2011,1611661320
Natasha Lacy,29,13.6,5.0,2.0,4.6,42.9,0.1,0.4,33.3,0.9,1.7,54.0,0.7,1.6,2.2,1.7,1.2,1.0,0.3,1.4,-0.4,Los Angeles Sparks,2011,1611661320
Noelle Quinn,33,20.6,5.1,1.9,5.0,39.0,0.7,1.8,39.7,0.5,0.7,81.8,0.3,1.5,1.8,2.0,0.7,0.6,0.1,0.8,-1.4,Los Angeles Sparks,2011,1611661320
Ticha Penicheiro,34,23.7,6.0,2.1,4.4,48.6,0.4,1.1,41.7,1.4,1.6,86.8,0.2,2.6,2.8,4.8,2.1,0.8,0.1,1.4,-1.8,Los Angeles Sparks,2011,1611661320
Tina Thompson,34,25.0,9.9,3.5,9.1,38.6,1.3,3.7,33.9,1.6,1.9,83.3,1.5,3.1,4.6,1.1,2.0,1.1,0.7,2.2,-2.8,Los Angeles Sparks,2011,1611661320
Alana Beard,33,30.8,11.4,4.2,9.5,43.6,1.1,2.6,40.2,2.0,2.5,79.5,0.3,1.8,2.2,3.3,2.5,2.0,0.4,2.8,5.7,Los Angeles Sparks,2012,1611661320
Andrea Riley,2,7.7,0.0,0.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,1.5,-2.5,Los Angeles Sparks,2012,1611661320
April Sykes,30,8.6,3.1,1.1,2.9,37.9,0.6,1.6,37.5,0.3,0.5,53.3,0.3,0.9,1.1,0.6,0.5,0.3,0.1,0.9,1.7,Los Angeles Sparks,2012,1611661320
Candace Parker,33,30.7,17.4,6.9,14.4,48.1,0.6,1.8,32.2,3.0,4.2,71.0,2.5,7.2,9.7,3.3,3.0,1.5,2.3,1.8,3.4,Los Angeles Sparks,2012,1611661320
Coco Miller,10,14.1,2.6,1.1,3.7,29.7,0.2,0.6,33.3,0.2,0.2,100.0,0.9,1.8,2.7,1.1,1.3,0.2,0.0,0.4,1.8,Los Angeles Sparks,2012,1611661320
Dawn Evans,3,4.9,0.7,0.3,1.7,20.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.3,0.0,0.3,-3.3,Los Angeles Sparks,2012,1611661320
DeLisha Milton-Jones,34,27.2,10.0,3.6,8.7,41.7,0.9,2.6,32.6,1.9,2.3,82.3,1.4,3.0,4.4,1.8,1.9,1.0,0.7,2.8,3.3,Los Angeles Sparks,2012,1611661320
Ebony Hoffman,20,10.4,2.5,0.9,2.6,34.6,0.3,1.0,26.3,0.4,0.5,80.0,0.7,1.5,2.1,0.5,0.7,0.7,0.1,1.5,0.5,Los Angeles Sparks,2012,1611661320
Jantel Lavender,34,14.4,5.6,2.4,4.7,50.6,0.0,0.0,0.0,0.8,0.9,84.4,1.5,2.5,3.9,0.5,1.1,0.3,0.5,1.6,0.6,Los Angeles Sparks,2012,1611661320
Jenna O'Hea,8,18.0,4.8,1.6,3.1,52.0,0.9,1.8,50.0,0.6,0.9,71.4,1.0,1.5,2.5,2.0,0.8,0.4,0.1,1.8,2.8,Los Angeles Sparks,2012,1611661320
Kristi Toliver,34,31.5,17.5,5.8,11.8,49.1,1.9,4.4,42.4,4.0,4.5,90.1,0.9,2.3,3.2,4.9,3.6,1.3,0.1,3.0,4.4,Los Angeles Sparks,2012,1611661320
Marissa Coleman,34,16.1,3.1,1.1,3.4,31.9,0.4,1.6,25.5,0.5,0.6,90.0,0.7,1.9,2.6,1.1,0.7,0.6,0.2,1.3,2.4,Los Angeles Sparks,2012,1611661320
Nicky Anosike,10,5.7,1.0,0.2,0.8,25.0,0.0,0.0,0.0,0.6,0.6,100.0,0.0,1.2,1.2,0.5,0.6,0.3,0.2,0.9,-0.7,Los Angeles Sparks,2012,1611661320
Nneka Ogwumike,33,27.9,14.0,5.4,10.1,53.5,0.0,0.2,14.3,3.2,4.3,73.4,3.0,4.5,7.5,1.2,1.3,1.4,0.9,2.6,7.2,Los Angeles Sparks,2012,1611661320
A'dia Mathies,30,9.2,2.3,0.8,2.3,35.3,0.1,0.5,25.0,0.5,0.8,64.0,0.2,0.4,0.7,0.8,0.6,0.3,0.1,1.2,1.6,Los Angeles Sparks,2013,1611661320
Alana Beard,32,22.0,6.2,2.7,5.8,45.9,0.0,0.3,12.5,0.9,1.1,82.4,0.4,1.8,2.3,1.4,1.3,1.3,0.3,2.3,5.5,Los Angeles Sparks,2013,1611661320
Candace Parker,31,28.7,17.9,6.7,13.6,49.3,0.3,1.1,25.7,4.2,5.5,76.2,1.4,7.3,8.7,3.8,2.3,1.3,1.8,1.4,6.3,Los Angeles Sparks,2013,1611661320
Ebony Hoffman,33,12.5,3.1,1.4,3.3,42.6,0.0,0.4,7.1,0.2,0.3,88.9,0.4,1.5,1.9,1.0,0.7,0.5,0.3,2.2,0.0,Los Angeles Sparks,2013,1611661320
Farhiya Abdi,17,7.2,2.2,0.9,2.3,38.5,0.0,0.0,0.0,0.5,0.7,66.7,0.2,0.5,0.7,0.5,0.2,0.1,0.1,0.9,-0.1,Los Angeles Sparks,2013,1611661320
Jantel Lavender,34,16.8,7.2,3.1,6.2,50.7,0.0,0.0,0.0,0.9,1.1,86.5,1.4,3.1,4.5,0.5,1.1,0.6,0.6,1.5,1.0,Los Angeles Sparks,2013,1611661320
Jenna O'Hea,29,13.7,3.0,1.0,2.2,43.8,0.7,1.4,50.0,0.3,0.5,66.7,0.4,1.3,1.7,1.1,0.6,0.3,0.2,1.3,2.3,Los Angeles Sparks,2013,1611661320
Kristi Toliver,34,30.0,14.1,5.3,11.6,45.7,1.4,3.8,38.3,2.0,2.4,83.1,0.5,2.0,2.6,3.4,1.9,1.3,0.2,2.5,5.8,Los Angeles Sparks,2013,1611661320
Lindsey Harding,33,30.6,10.9,4.1,9.2,44.1,0.1,0.7,18.2,2.7,3.5,75.9,0.5,2.2,2.7,5.2,2.5,1.0,0.4,1.8,5.5,Los Angeles Sparks,2013,1611661320
Marissa Coleman,34,17.5,4.6,1.7,4.0,43.0,0.6,1.5,40.0,0.6,1.0,63.6,0.9,2.0,2.9,1.0,0.9,0.7,0.1,1.3,1.6,Los Angeles Sparks,2013,1611661320
Nneka Ogwumike,34,25.8,14.6,5.6,10.0,56.6,0.1,0.1,40.0,3.2,3.9,82.6,2.8,4.8,7.6,1.3,1.9,1.5,1.0,3.0,6.8,Los Angeles Sparks,2013,1611661320
Alana Beard,33,27.7,8.5,3.6,7.8,46.3,0.2,0.8,28.6,1.1,1.4,74.5,0.6,2.0,2.6,2.5,1.8,1.1,0.5,2.6,-1.0,Los Angeles Sparks,2014,1611661320
Armintie Herrington,34,23.2,3.9,1.7,3.6,48.0,0.0,0.0,0.0,0.5,1.0,45.7,1.2,1.6,2.8,1.9,1.0,1.5,0.2,1.9,1.9,Los Angeles Sparks,2014,1611661320
Candace Parker,30,33.2,19.4,7.2,15.4,46.9,0.6,2.1,30.6,4.4,5.2,84.6,1.0,6.2,7.1,4.3,2.6,1.8,1.4,1.7,2.7,Los Angeles Sparks,2014,1611661320
Candice Wiggins,17,14.0,1.6,0.5,2.8,18.8,0.4,1.4,25.0,0.2,0.3,80.0,0.5,0.7,1.2,0.9,0.6,0.7,0.2,1.8,-1.3,Los Angeles Sparks,2014,1611661320
Darxia Morris,4,7.8,1.5,0.8,3.3,23.1,0.0,1.3,0.0,0.0,0.0,0.0,0.5,0.3,0.8,0.8,0.5,0.5,0.0,1.3,0.5,Los Angeles Sparks,2014,1611661320
